0 12772 12416 12726 12739 12829 12258 12368 12715
1 12322 12543 12482 12603 12392 12511 12862 12833
2 12609 12674 12213 12586 12113 12294 12210 12743
3 12225 12421 12204 12187 12899 12275 12510 12771
4 12590 12337 12610 12519 12495 12878 12334 12717
5 12521 12716 12420 12813 12327 12382 12746 12835
6 12156 12859 12521 12169 12254 12631 12812 12379
7 12151 12116 12466 12150 12291 12877 12822 12781
8 12313 12532 12400 12708 12510 12634 12525 12131
9 12450 12845 12845 12677 12327 12691 12612 12383
